2020-08-09 20:55:45
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.00, 1.00, 0.82
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
C_subscribe_legacy                14740288620682 ns   34929348918 ns            1
C_subscribe_legacy                14740305047282 ns   34945774607 ns            1
C_subscribe_legacy                14740321638182 ns   34962286173 ns            1
C_subscribe_legacy                14740333426482 ns   34974137647 ns            1
C_subscribe_legacy                14740348537582 ns   34989250522 ns            1
C_subscribe_legacy                14740364830582 ns   35005540197 ns            1
C_subscribe_legacy                14740378380782 ns   35019089385 ns            1
C_subscribe_legacy                14740391955582 ns   35032672145 ns            1
C_subscribe_legacy                14740408472882 ns   35049185064 ns            1
C_subscribe_legacy                14740423491882 ns   35064179876 ns            1
C_subscribe_legacy                14740435489982 ns   35076201297 ns            1
C_subscribe_legacy                14740457376782 ns   35098071509 ns            1
C_subscribe_legacy                14740472538082 ns   35113222688 ns            1
C_subscribe_legacy                14740484446682 ns   35125140920 ns            1
C_subscribe_legacy                14740499555382 ns   35140251076 ns            1
C_subscribe_legacy                14740518372582 ns   35159022755 ns            1
C_subscribe_legacy                14740530936682 ns   35171588806 ns            1
C_subscribe_legacy                14740545342582 ns   35185998138 ns            1
C_subscribe_legacy                14740562798282 ns   35203449440 ns            1
C_subscribe_legacy                14740577025782 ns   35217539751 ns            1
C_subscribe_legacy                14740589703482 ns   35230344091 ns            1
C_subscribe_legacy                14740605879582 ns   35246515591 ns            1
C_subscribe_legacy                14740622238782 ns   35262876750 ns            1
C_subscribe_legacy                14740634255282 ns   35274893193 ns            1
C_subscribe_legacy                14740649659582 ns   35290301712 ns            1
C_subscribe_legacy                14740665769282 ns   35306306963 ns            1
C_subscribe_legacy                14740679683482 ns   35319966863 ns            1
C_subscribe_legacy                14740693378382 ns   35333665943 ns            1
C_subscribe_legacy                14740709548582 ns   35349848592 ns            1
C_subscribe_legacy                14740724765682 ns   35365036346 ns            1
C_subscribe_legacy                14740736593982 ns   35376865558 ns            1
C_subscribe_legacy                14740753034882 ns   35393309495 ns            1
C_subscribe_legacy                14740769888982 ns   35409866468 ns            1
C_subscribe_legacy                14740782005182 ns   35421985702 ns            1
C_subscribe_legacy                14740796430482 ns   35436415866 ns            1
C_subscribe_legacy                14740812487382 ns   35452468876 ns            1
C_subscribe_legacy                14740826426182 ns   35466393392 ns            1
C_subscribe_legacy                14740838732482 ns   35478701644 ns            1
C_subscribe_legacy                14740855265582 ns   35495253480 ns            1
C_subscribe_legacy                14740871748282 ns   35511702384 ns            1
C_subscribe_legacy                14740883739582 ns   35523660315 ns            1
C_subscribe_legacy                14740898933782 ns   35538902712 ns            1
C_subscribe_legacy                14740914972982 ns   35554937860 ns            1
C_subscribe_legacy                14740928330482 ns   35568297570 ns            1
C_subscribe_legacy_mean           14740566429746 ns   35206896314 ns           50
C_subscribe_legacy_median         14740569912032 ns   35210494595 ns           50
C_subscribe_legacy_stddev          217152157 ns    216866217 ns           50
D_unsubscribe_legacy              14740982597282 ns   35622277492 ns            1
D_unsubscribe_legacy              14741009869482 ns   35649448294 ns            1
D_unsubscribe_legacy              14741044574282 ns   35684039751 ns            1
D_unsubscribe_legacy              14741062625682 ns   35702137503 ns            1
D_unsubscribe_legacy              14741104161782 ns   35743557999 ns            1
D_unsubscribe_legacy              14741119515282 ns   35759008206 ns            1
D_unsubscribe_legacy              14741152636982 ns   35792143993 ns            1
D_unsubscribe_legacy              14741172941282 ns   35812446095 ns            1
D_unsubscribe_legacy              14741203713782 ns   35843217790 ns            1
D_unsubscribe_legacy              14741227559982 ns   35867068944 ns            1
D_unsubscribe_legacy              14741255329582 ns   35894800438 ns            1
D_unsubscribe_legacy              14741282628682 ns   35922122165 ns            1
D_unsubscribe_legacy              14741306556782 ns   35946048313 ns            1
D_unsubscribe_legacy              14741336020982 ns   35975513519 ns            1
D_unsubscribe_legacy              14741358153782 ns   35997642459 ns            1
D_unsubscribe_legacy              14741392602782 ns   36032069328 ns            1
D_unsubscribe_legacy              14741410684382 ns   36050152662 ns            1
D_unsubscribe_legacy              14741445313782 ns   36084789831 ns            1
D_unsubscribe_legacy              14741462839182 ns   36102315845 ns            1
D_unsubscribe_legacy              14741500277582 ns   36139730076 ns            1
D_unsubscribe_legacy              14741515501282 ns   36151324848 ns            1
D_unsubscribe_legacy              14741551335382 ns   36193208974 ns            1
D_unsubscribe_legacy              14741570158582 ns   36208802342 ns            1
D_unsubscribe_legacy              14741603589982 ns   36242400167 ns            1
D_unsubscribe_legacy              14741625083982 ns   36264092103 ns            1
D_unsubscribe_legacy              14741654802482 ns   36293838814 ns            1
D_unsubscribe_legacy              14741678925382 ns   36317963913 ns            1
D_unsubscribe_legacy              14741706490082 ns   36345530573 ns            1
D_unsubscribe_legacy              14741733721382 ns   36372760610 ns            1
D_unsubscribe_legacy              14741757539882 ns   36396513662 ns            1
D_unsubscribe_legacy              14741791507682 ns   36430516920 ns            1
D_unsubscribe_legacy              14741823534582 ns   36462502858 ns            1
D_unsubscribe_legacy              14741852426882 ns   36491410901 ns            1
D_unsubscribe_legacy              14741868279982 ns   36498381831 ns            1
D_unsubscribe_legacy              14741904987082 ns   36549277500 ns            1
D_unsubscribe_legacy              14741925088482 ns   36564060470 ns            1
D_unsubscribe_legacy              14741955240882 ns   36594227631 ns            1
D_unsubscribe_legacy              14741980188482 ns   36619162504 ns            1
D_unsubscribe_legacy              14742007248082 ns   36645606813 ns            1
D_unsubscribe_legacy              14742035652082 ns   36674128516 ns            1
D_unsubscribe_legacy              14742059712582 ns   36698157384 ns            1
D_unsubscribe_legacy              14742090830582 ns   36729390397 ns            1
D_unsubscribe_legacy              14742110680382 ns   36749237731 ns            1
D_unsubscribe_legacy              14742146351582 ns   36784878087 ns            1
D_unsubscribe_legacy              14742163173482 ns   36801688497 ns            1
D_unsubscribe_legacy              14742199313882 ns   36837854179 ns            1
D_unsubscribe_legacy              14742216710782 ns   36855254606 ns            1
D_unsubscribe_legacy              14742250975982 ns   36889532424 ns            1
D_unsubscribe_legacy              14742269576682 ns   36908109221 ns            1
D_unsubscribe_legacy              14742304265482 ns   36942789376 ns            1
D_unsubscribe_legacy_mean         14741643669948 ns   36282662691 ns           50
D_unsubscribe_legacy_median       14741639943232 ns   36278965458 ns           50
D_unsubscribe_legacy_stddev        391484114 ns    391096750 ns           50
E_update_legacy                         3.23 ns         3.23 ns    213853038
E_update_legacy                         3.31 ns         3.30 ns    213853038
E_update_legacy                         3.21 ns         3.21 ns    213853038
E_update_legacy                         3.26 ns         3.26 ns    213853038
E_update_legacy                         3.22 ns         3.22 ns    213853038
E_update_legacy                         3.28 ns         3.27 ns    213853038
E_update_legacy                         3.29 ns         3.28 ns    213853038
E_update_legacy                         3.24 ns         3.24 ns    213853038
E_update_legacy                         3.20 ns         3.19 ns    213853038
E_update_legacy                         3.17 ns         3.17 ns    213853038
E_update_legacy                         3.21 ns         3.21 ns    213853038
E_update_legacy                         3.23 ns         3.22 ns    213853038
E_update_legacy                         3.19 ns         3.19 ns    213853038
E_update_legacy                         3.21 ns         3.21 ns    213853038
E_update_legacy                         3.29 ns         3.29 ns    213853038
E_update_legacy                         3.30 ns         3.29 ns    213853038
E_update_legacy                         3.25 ns         3.23 ns    213853038
E_update_legacy                         3.33 ns         3.33 ns    213853038
E_update_legacy                         3.23 ns         3.23 ns    213853038
E_update_legacy                         3.26 ns         3.26 ns    213853038
E_update_legacy                         3.26 ns         3.26 ns    213853038
E_update_legacy                         3.22 ns         3.21 ns    213853038
E_update_legacy                         3.27 ns         3.27 ns    213853038
E_update_legacy                         3.27 ns         3.26 ns    213853038
E_update_legacy                         3.23 ns         3.23 ns    213853038
E_update_legacy                         3.28 ns         3.27 ns    213853038
E_update_legacy                         3.21 ns         3.20 ns    213853038
E_update_legacy                         3.23 ns         3.23 ns    213853038
E_update_legacy                         3.23 ns         3.22 ns    213853038
E_update_legacy                         3.22 ns         3.21 ns    213853038
E_update_legacy                         3.18 ns         3.17 ns    213853038
E_update_legacy                         3.19 ns         3.20 ns    213853038
E_update_legacy                         3.19 ns         3.18 ns    213853038
E_update_legacy                         3.22 ns         3.22 ns    213853038
E_update_legacy                         3.21 ns         3.20 ns    213853038
E_update_legacy                         3.20 ns         3.20 ns    213853038
E_update_legacy                         3.19 ns         3.18 ns    213853038
E_update_legacy                         3.22 ns         3.21 ns    213853038
