2020-08-09 20:48:24
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.02, 0.94, 0.67
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
C_subscribe_legacy                14296332257020 ns   32401356453 ns            1
C_subscribe_legacy                14296347585865 ns   32416680876 ns            1
C_subscribe_legacy                14296360185523 ns   32429277764 ns            1
C_subscribe_legacy                14296372699878 ns   32441782971 ns            1
C_subscribe_legacy                14296387803081 ns   32456887053 ns            1
C_subscribe_legacy                14296403074219 ns   32472146963 ns            1
C_subscribe_legacy                14296414443978 ns   32483520484 ns            1
C_subscribe_legacy                14296427288398 ns   32496369788 ns            1
C_subscribe_legacy                14296442679350 ns   32511741339 ns            1
C_subscribe_legacy                14296456460851 ns   32525521446 ns            1
C_subscribe_legacy                14296467823049 ns   32536883985 ns            1
C_subscribe_legacy                14296482945788 ns   32551996576 ns            1
C_subscribe_legacy                14296498432888 ns   32567475977 ns            1
C_subscribe_legacy                14296511511341 ns   32580530298 ns            1
C_subscribe_legacy                14296525038099 ns   32594023066 ns            1
C_subscribe_legacy                14296541489497 ns   32610473806 ns            1
C_subscribe_legacy                14296555930681 ns   32624909143 ns            1
C_subscribe_legacy                14296567253652 ns   32636232423 ns            1
C_subscribe_legacy                14296581846030 ns   32650821153 ns            1
C_subscribe_legacy                14296597108252 ns   32666073990 ns            1
C_subscribe_legacy                14296610052947 ns   32679026645 ns            1
C_subscribe_legacy                14296622275628 ns   32691248709 ns            1
C_subscribe_legacy                14296637670024 ns   32706679675 ns            1
C_subscribe_legacy                14296653059472 ns   32722024118 ns            1
C_subscribe_legacy                14296664480803 ns   32733449026 ns            1
C_subscribe_legacy                14296678066390 ns   32747039821 ns            1
C_subscribe_legacy                14296693444794 ns   32762415598 ns            1
C_subscribe_legacy                14296707572792 ns   32776530088 ns            1
C_subscribe_legacy                14296719005455 ns   32787959504 ns            1
C_subscribe_legacy                14296734566201 ns   32803342367 ns            1
C_subscribe_legacy                14296750456675 ns   32819119745 ns            1
