2020-08-09 20:44:54
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 0.99, 0.83, 0.57
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
----------------------------------------------------------------------------
A_create_legacy                       656638 ns       652892 ns         1024
A_create_legacy                       651637 ns       650000 ns         1024
A_create_legacy                       677068 ns       670411 ns         1024
A_create_legacy                       665504 ns       662858 ns         1024
A_create_legacy                       667367 ns       665285 ns         1024
A_create_legacy                       661011 ns       658843 ns         1024
A_create_legacy                       683007 ns       681069 ns         1024
A_create_legacy                       677679 ns       675688 ns         1024
A_create_legacy                       671469 ns       669104 ns         1024
A_create_legacy                       658506 ns       656855 ns         1024
A_create_legacy                       661404 ns       655217 ns         1024
A_create_legacy                       683596 ns       680114 ns         1024
A_create_legacy                       662607 ns       659274 ns         1024
A_create_legacy                       658854 ns       656140 ns         1024
A_create_legacy                       665399 ns       661455 ns         1024
A_create_legacy                       652203 ns       649040 ns         1024
A_create_legacy                       668830 ns       667657 ns         1024
A_create_legacy                       663815 ns       662474 ns         1024
A_create_legacy                       660169 ns       654444 ns         1024
A_create_legacy                       656796 ns       654550 ns         1024
A_create_legacy                       657762 ns       656230 ns         1024
A_create_legacy                       648496 ns       647067 ns         1024
A_create_legacy                       670483 ns       669677 ns         1024
A_create_legacy                       658652 ns       657589 ns         1024
A_create_legacy                       658381 ns       657621 ns         1024
A_create_legacy                       655646 ns       654293 ns         1024
A_create_legacy                       659863 ns       658695 ns         1024
A_create_legacy                       659708 ns       657267 ns         1024
A_create_legacy                       662360 ns       661291 ns         1024
A_create_legacy                       655094 ns       654004 ns         1024
A_create_legacy                       660281 ns       658973 ns         1024
A_create_legacy                       649434 ns       648571 ns         1024
A_create_legacy                       662730 ns       661770 ns         1024
A_create_legacy                       667784 ns       665333 ns         1024
A_create_legacy                       667976 ns       666327 ns         1024
A_create_legacy                       669440 ns       668093 ns         1024
A_create_legacy                       658885 ns       656806 ns         1024
A_create_legacy                       658584 ns       657036 ns         1024
A_create_legacy                       653962 ns       652817 ns         1024
A_create_legacy                       669993 ns       668109 ns         1024
A_create_legacy                       660394 ns       659650 ns         1024
A_create_legacy                       782809 ns       781074 ns         1024
A_create_legacy                       697395 ns       695410 ns         1024
A_create_legacy                       690878 ns       685467 ns         1024
A_create_legacy                       798230 ns       790471 ns         1024
A_create_legacy                       667401 ns       663058 ns         1024
A_create_legacy                       673508 ns       669312 ns         1024
A_create_legacy                       660117 ns       658422 ns         1024
A_create_legacy                       662996 ns       660833 ns         1024
A_create_legacy                       667415 ns       666044 ns         1024
A_create_legacy_mean                  669404 ns       667014 ns           50
A_create_legacy_median                662483 ns       660241 ns           50
A_create_legacy_stddev                 26873 ns        26264 ns           50
B_destruct_legacy                 14087422081491 ns   34236245890 ns            1
B_destruct_legacy                 14087423165836 ns   34237214647 ns            1
B_destruct_legacy                 14087424142602 ns   34238198736 ns            1
B_destruct_legacy                 14087424889707 ns   34238938305 ns            1
B_destruct_legacy                 14087425591531 ns   34239644950 ns            1
B_destruct_legacy                 14087426421038 ns   34240474222 ns            1
B_destruct_legacy                 14087427207250 ns   34241258288 ns            1
B_destruct_legacy                 14087428006064 ns   34242078843 ns            1
B_destruct_legacy                 14087428768802 ns   34242821064 ns            1
B_destruct_legacy                 14087429677174 ns   34243704346 ns            1
B_destruct_legacy                 14087430468962 ns   34244520428 ns            1
B_destruct_legacy                 14087431234528 ns   34245284432 ns            1
B_destruct_legacy                 14087432067124 ns   34246115828 ns            1
B_destruct_legacy                 14087432828539 ns   34246896856 ns            1
B_destruct_legacy                 14087433528425 ns   34247579238 ns            1
B_destruct_legacy                 14087434229991 ns   34248277392 ns            1
