2020-08-09 20:41:23
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 0.31, 0.62, 0.44
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
----------------------------------------------------------------------------
A_create_legacy                       738437 ns       736386 ns          899
A_create_legacy                       769045 ns       761307 ns          899
A_create_legacy                       738578 ns       732805 ns          899
A_create_legacy                       744484 ns       742082 ns          899
A_create_legacy                       761785 ns       755235 ns          899
A_create_legacy                       764891 ns       759543 ns          899
A_create_legacy                       756002 ns       754629 ns          899
A_create_legacy                       759184 ns       757065 ns          899
A_create_legacy                       748778 ns       746928 ns          899
A_create_legacy                       739701 ns       738598 ns          899
A_create_legacy                       753249 ns       751565 ns          899
A_create_legacy                       754619 ns       752684 ns          899
A_create_legacy                       731813 ns       730593 ns          899
A_create_legacy                       730280 ns       729423 ns          899
A_create_legacy                       755604 ns       753714 ns          899
A_create_legacy                       724477 ns       723658 ns          899
A_create_legacy                       723958 ns       723459 ns          899
A_create_legacy                       718483 ns       717697 ns          899
A_create_legacy                       721922 ns       720652 ns          899
A_create_legacy                       701959 ns       701484 ns          899
A_create_legacy                       692960 ns       692362 ns          899
A_create_legacy                       686357 ns       685626 ns          899
A_create_legacy                       728406 ns       727724 ns          899
A_create_legacy                       678274 ns       677635 ns          899
A_create_legacy                       686889 ns       677044 ns          899
A_create_legacy                       679426 ns       678758 ns          899
A_create_legacy                       674031 ns       673215 ns          899
A_create_legacy                       685491 ns       684487 ns          899
A_create_legacy                       687137 ns       686450 ns          899
A_create_legacy                       675309 ns       674600 ns          899
A_create_legacy                       671366 ns       670362 ns          899
A_create_legacy                       675552 ns       673609 ns          899
A_create_legacy                       666284 ns       665635 ns          899
A_create_legacy                       667393 ns       666224 ns          899
A_create_legacy                       673450 ns       672376 ns          899
A_create_legacy                       669528 ns       668748 ns          899
A_create_legacy                       668563 ns       667748 ns          899
A_create_legacy                       669755 ns       668435 ns          899
A_create_legacy                       674107 ns       673519 ns          899
A_create_legacy                       677298 ns       676774 ns          899
A_create_legacy                       662767 ns       662126 ns          899
A_create_legacy                       666835 ns       666023 ns          899
A_create_legacy                       663169 ns       662640 ns          899
A_create_legacy                       663707 ns       662797 ns          899
A_create_legacy                       667123 ns       666275 ns          899
A_create_legacy                       673708 ns       672923 ns          899
A_create_legacy                       674187 ns       672913 ns          899
A_create_legacy                       662231 ns       661413 ns          899
A_create_legacy                       698422 ns       696337 ns          899
A_create_legacy                       676899 ns       674734 ns          899
A_create_legacy_mean                  702678 ns       700980 ns           50
A_create_legacy_median                686623 ns       685057 ns           50
A_create_legacy_stddev                 35710 ns        34908 ns           50
B_destruct_legacy                 13873554087723 ns   31604937340 ns            1
B_destruct_legacy                 13873555538327 ns   31605923516 ns            1
B_destruct_legacy                 13873556099697 ns   31606485611 ns            1
B_destruct_legacy                 13873556600122 ns   31606976674 ns            1
B_destruct_legacy                 13873557168527 ns   31607554432 ns            1
B_destruct_legacy                 13873557658604 ns   31608043646 ns            1
B_destruct_legacy                 13873558227036 ns   31608612936 ns            1
B_destruct_legacy                 13873558716984 ns   31609102013 ns            1
B_destruct_legacy                 13873559214436 ns   31609598962 ns            1
B_destruct_legacy                 13873559776856 ns   31610162005 ns            1
B_destruct_legacy                 13873560265622 ns   31610650094 ns            1
B_destruct_legacy                 13873560835236 ns   31611220313 ns            1
B_destruct_legacy                 13873561322938 ns   31611707281 ns            1
B_destruct_legacy                 13873561927278 ns   31612313461 ns            1
B_destruct_legacy                 13873562513414 ns   31612898712 ns            1
B_destruct_legacy                 13873563192694 ns   31613575920 ns            1
B_destruct_legacy                 13873564064408 ns   31614447442 ns            1
B_destruct_legacy                 13873564790767 ns   31615174806 ns            1
B_destruct_legacy                 13873565520220 ns   31615903505 ns            1
B_destruct_legacy                 13873566272096 ns   31616655373 ns            1
B_destruct_legacy                 13873567028281 ns   31617414057 ns            1
B_destruct_legacy                 13873567890212 ns   31618273034 ns            1
B_destruct_legacy                 13873568592784 ns   31618976254 ns            1
B_destruct_legacy                 13873569319286 ns   31619702112 ns            1
B_destruct_legacy                 13873570077591 ns   31620460861 ns            1
