2020-08-09 20:51:54
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.01, 1.00, 0.76
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
----------------------------------------------------------------------------
A_create_legacy                       687356 ns       683349 ns         1030
A_create_legacy                       672386 ns       665984 ns         1030
A_create_legacy                       677081 ns       675297 ns         1030
A_create_legacy                       678999 ns       676950 ns         1030
A_create_legacy                       667087 ns       665594 ns         1030
A_create_legacy                       664235 ns       661737 ns         1030
A_create_legacy                       663825 ns       662361 ns         1030
A_create_legacy                       663962 ns       663199 ns         1030
A_create_legacy                       676590 ns       674653 ns         1030
A_create_legacy                       671431 ns       670368 ns         1030
A_create_legacy                       656047 ns       655184 ns         1030
A_create_legacy                       674274 ns       672060 ns         1030
A_create_legacy                       676361 ns       675486 ns         1030
A_create_legacy                       667631 ns       667399 ns         1030
A_create_legacy                       662854 ns       661315 ns         1030
A_create_legacy                       666172 ns       665251 ns         1030
A_create_legacy                       671729 ns       670702 ns         1030
A_create_legacy                       666706 ns       665746 ns         1030
A_create_legacy                       665289 ns       664769 ns         1030
A_create_legacy                       771434 ns       768810 ns         1030
A_create_legacy                       804698 ns       802694 ns         1030
A_create_legacy                       731406 ns       729254 ns         1030
A_create_legacy                       784921 ns       782180 ns         1030
A_create_legacy                       667212 ns       665096 ns         1030
A_create_legacy                       672098 ns       671116 ns         1030
A_create_legacy                       667195 ns       665546 ns         1030
A_create_legacy                       669803 ns       668826 ns         1030
A_create_legacy                       665516 ns       664679 ns         1030
A_create_legacy                       663801 ns       662586 ns         1030
A_create_legacy                       669358 ns       668595 ns         1030
A_create_legacy                       663228 ns       662266 ns         1030
A_create_legacy                       668041 ns       666567 ns         1030
A_create_legacy                       671574 ns       670685 ns         1030
A_create_legacy                       685391 ns       684613 ns         1030
A_create_legacy                       671723 ns       670888 ns         1030
A_create_legacy                       677575 ns       676069 ns         1030
A_create_legacy                       667604 ns       666375 ns         1030
A_create_legacy                       667728 ns       666001 ns         1030
A_create_legacy                       666896 ns       664506 ns         1030
A_create_legacy                       685411 ns       684221 ns         1030
A_create_legacy                       686595 ns       683842 ns         1030
A_create_legacy                       698498 ns       695765 ns         1030
A_create_legacy                       675886 ns       673620 ns         1030
A_create_legacy                       676729 ns       674004 ns         1030
A_create_legacy                       683637 ns       682265 ns         1030
A_create_legacy                       685981 ns       684426 ns         1030
A_create_legacy                       669292 ns       668364 ns         1030
A_create_legacy                       674405 ns       673129 ns         1030
A_create_legacy                     28127879 ns     28114412 ns         1030
A_create_legacy                      1478474 ns      1473812 ns         1030
A_create_legacy_mean                 1245600 ns      1243652 ns           50
A_create_legacy_median                671726 ns       670693 ns           50
A_create_legacy_stddev               3881068 ns      3879392 ns           50
B_destruct_legacy                 14537653404782 ns   64133534327 ns            1
B_destruct_legacy                 14537654896382 ns   64135028071 ns            1
B_destruct_legacy                 14537656099882 ns   64136124805 ns            1
B_destruct_legacy                 14537657088782 ns   64137192520 ns            1
B_destruct_legacy                 14537658355282 ns   64138340211 ns            1
B_destruct_legacy                 14537659148882 ns   64139137861 ns            1
B_destruct_legacy                 14537660309382 ns   64140295532 ns            1
B_destruct_legacy                 14537661384282 ns   64141370538 ns            1
B_destruct_legacy                 14537662684982 ns   64142628832 ns            1
B_destruct_legacy                 14537663939182 ns   64143915863 ns            1
B_destruct_legacy                 14537665156982 ns   64145144014 ns            1
B_destruct_legacy                 14537666239082 ns   64146229157 ns            1
B_destruct_legacy                 14537667101782 ns   64147090389 ns            1
B_destruct_legacy                 14537668254982 ns   64148244234 ns            1
B_destruct_legacy                 14537669329182 ns   64149326381 ns            1
B_destruct_legacy                 14537670737882 ns   64150595382 ns            1
B_destruct_legacy                 14537673170582 ns   64152470793 ns            1
B_destruct_legacy                 14537678802782 ns   64157913092 ns            1
B_destruct_legacy                 14537680094482 ns   64157913092 ns            1
B_destruct_legacy                 14537681008982 ns   64157913092 ns            1
B_destruct_legacy                 14537682214482 ns   64162583597 ns            1
B_destruct_legacy                 14537683191982 ns   64163329863 ns            1
B_destruct_legacy                 14537684393982 ns   64164381156 ns            1
